OK,Court ID,Court Name,Fixed Court Name,Court Name Abbreviation,Fixed Court Name Abbreviation,Count,Jurisdiction,Fixed Jurisdiction,First Date,Last Date,Example Case ID,Example Case
,16850,Washington County Court of Quarter Sessions,,Wash. Cty. Ct. of Quarter Sess.,,1,Pa.,,1964-03-17,1964-03-17,1682338,View example
,15037,Washington County Court of Quarter Sessions,,Washington Cty. Ct. of Quarter Sess.,,1,Pa.,,1892-01-04,1892-01-04,827912,View example
,12947,Washington County Court of Quarter Sessions,,Washington Cty. Ct. Quarter Sess,,1,Pa.,,1947-11-28,1947-11-28,1576066,View example
,16550,Washington County of Common Pleas,,Washington Cty. C.P.,,1,Pa.,,1983-04-06,1983-04-06,1937651,View example
,9640,Washington County Orphans' Court,,Wash. Cty. Orphans' Ct.,,22,Pa.,,1883-10-17,1982-12-06,220736,View example
,12073,Washington County Orphans' Court,,Washington Cty. Orphans' Ct.,,15,Pa.,,1892-01-04,1960-06-02,827945,View example
,22385,Washington County Orphans' Court,,Wash. Orphans' Ct.,,2,Pa.,,1950-12-05,1951-01-17,8730577,View example
,16873,Washington County Orphans' Court,,Phila. Cty. Orphans' Ct.,,1,Pa.,,1959-07-02,1959-07-02,1643244,View example
,12416,Washington County Orphans' Court,,Washington Orphans' Ct.,,1,Pa.,,1934-04-09,1934-04-09,1513632,View example
,12862,Washington County Probate Court,,Washington Cty. Prob. Ct.,,1,Ohio,,1916-12,1916-12,1553972,View example
,8985,Washington Court of Appeals,,Wash. Ct. App.,,62307,Wash.,,1955-03-14,2016-03-15,48704,View example
,13444,Washington Court of Common Pleas,,Wash. Cty. C.P.,,1,Pa.,,1973-09-20,1973-09-20,1744532,View example
,20168,Washington District Court,,Wash. Dist. Ct.,,1,Wash.,,1871,1871,6576797,View example
